# a0a11af7-a422-4393-be91-0c0263449105
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# x_m, y_m, psi_rad
-19.3636727, -25.6055262, -0.9680937
-19.0708486, -26.0103743, -0.9210337
-18.7592286, -26.4008597, -0.8733549
-18.4292348, -26.7758923, -0.8248710
-18.0812601, -27.1343435, -0.7753920
-17.7157392, -27.4749974, -0.7248129
-17.3333545, -27.7965034, -0.6733112
-16.9354224, -28.0974318, -0.6217388
-16.5243278, -28.3766890, -0.5722304
-16.0972897, -28.6381465, -0.5277735
-15.6624918, -28.8806423, -0.4905302
-15.2187588, -29.1066732, -0.4488530
-14.7617799, -29.3081690, -0.3738233
-14.2911628, -29.4652863, -0.2693742
-13.8032996, -29.5739543, -0.1705801
-13.3066056, -29.6361096, -0.0794720
-12.8068969, -29.6541563, 0.0066401
-12.3085868, -29.6300634, 0.0896479
-11.8134939, -29.5650857, 0.1712302
-11.3250892, -29.4600506, 0.2524948
-10.8467310, -29.3155407, 0.3344951
-10.3819758, -29.1319327, 0.4184424
-9.9346818, -28.9093547, 0.5057503
-9.5100435, -28.6479727, 0.5988623
-9.1128514, -28.3473548, 0.6973563
-8.7451862, -28.0090693, 0.7872685
-8.4068110, -27.6427701, 0.8602002
-8.0932845, -27.2548598, 0.9201749
-7.8019177, -26.8502683, 0.9722137
-7.5307873, -26.4312261, 1.0204262
-7.2793289, -25.9989729, 1.0673022
-7.0491751, -25.5571771, 1.1137443
-6.8395216, -25.1046206, 1.1601984
-6.6510912, -24.6427126, 1.2070381
-6.4849722, -24.1718237, 1.2567016
-6.3429295, -23.6927975, 1.3085020
-6.2259611, -23.2071778, 1.3599848
-6.1334037, -22.7164394, 1.4077727
-6.0625292, -22.2221496, 1.4464863
-6.0068603, -21.7258991, 1.4686865
-5.9577620, -21.2289230, 1.4730343
-5.9065479, -20.7321562, 1.4603484
-5.8450141, -20.2366018, 1.4314135
-5.7650940, -19.7437262, 1.3864717
-5.6607096, -19.2553730, 1.3331324
-5.5301103, -18.7732673, 1.2796893
-5.3743892, -18.2987409, 1.2279621
-5.1946962, -17.8329385, 1.1774109
-4.9917546, -17.3765745, 1.1273490
-4.7661077, -16.9307649, 1.0770355
-4.5180753, -16.4968956, 1.0256517
-4.2477069, -16.0765923, 0.9722753
-3.9547740, -15.6717978, 0.9158666
-3.6387967, -15.2848914, 0.8552765
-3.2991492, -14.9188408, 0.7893207
-2.9352927, -14.5773394, 0.7169804
-2.5470815, -14.2646944, 0.6378726
-2.1349825, -13.9853592, 0.5526046
-1.6993102, -13.7424728, 0.4649213
-1.2436849, -13.5379473, 0.3790196
-0.7717659, -13.3736320, 0.2903193
-0.2878250, -13.2531929, 0.1964042
0.2076283, -13.1805065, 0.0930494
0.7067454, -13.1626200, -0.0244451
1.2041892, -13.2087400, -0.1651470
1.6848752, -13.3305543, -0.3380722
2.1290550, -13.5411288, -0.5525888
2.5262816, -13.8489684, -0.7579177
2.8622183, -14.2144816, -0.8858378
3.1613014, -14.6168286, -0.9735142
3.4280514, -15.0416157, -1.0448672
3.6656274, -15.4789601, -1.0969622
3.8870008, -15.9268762, -1.1209339
4.1055429, -16.3770892, -1.1114280
4.3355156, -16.8216093, -1.0709089
4.5860983, -17.2532063, -1.0171183
4.8616216, -17.6701846, -0.9552177
5.1662581, -18.0694906, -0.8800257
5.5036401, -18.4388804, -0.7716510
5.8949060, -18.7553401, -0.5673657
6.3234204, -18.9898034, -0.4783275
6.7860739, -19.1544552, -0.2133327
7.2866695, -19.2167299, -0.0475392
7.7820281, -19.2114492, 0.0636192
8.2785497, -19.1569039, 0.1525470
8.7694726, -19.0616466, 0.2292407
9.2520790, -18.9309661, 0.2987020
9.7247495, -18.7682913, 0.3636468
10.1860741, -18.5760181, 0.4256797
10.6347584, -18.3562745, 0.4846417
11.0700536, -18.1112701, 0.5401059
11.4915274, -17.8430923, 0.5928717
11.8985234, -17.5535634, 0.6434523
12.2904603, -17.2442885, 0.6924668
12.6670536, -16.9162363, 0.7406882
13.0275494, -16.5703371, 0.7888339
13.3708933, -16.2073752, 0.8376814
13.6958016, -15.8279436, 0.8878220
14.0010409, -15.4327574, 0.9377237
14.2876372, -15.0239643, 0.9792721
14.5593045, -14.6049835, 1.0099101
14.8202827, -14.1797169, 1.0290437
15.0748560, -13.7511979, 1.0390654
15.3270072, -13.3206209, 1.0419643
15.5792052, -12.8896160, 1.0400670
15.8330885, -12.4597438, 1.0339011
16.0903999, -12.0318570, 1.0245364
16.3518514, -11.6065031, 1.0148794
16.6172214, -11.1835755, 1.0061580
16.8860490, -10.7628366, 0.9984829
17.1578849, -10.3440324, 0.9918259
17.4322959, -9.9269092, 0.9861605
17.7088646, -9.5112118, 0.9814622
17.9871877, -9.0966855, 0.9777078
18.2668744, -8.6830766, 0.9748749
18.5475457, -8.2701342, 0.9729418
