# ec08ecf0-cba4-44f0-8b07-3b2480c7cfbd
# 39b6245a9ad2c490252216ad921ee7f73e400580
# x_m, y_m, psi_rad
-35.7538460, 20.5016407, -2.6886338
-35.9332383, 20.4133914, -2.6800629
-36.1116611, 20.3236094, -2.6705516
-36.2894382, 20.2319097, -2.6600337
-36.4658850, 20.1384180, -2.6484423
-36.6413127, 20.0426966, -2.6355382
-36.8156128, 19.9445009, -2.6213260
-36.9881585, 19.8438674, -2.6055839
-37.1591952, 19.7402693, -2.5880994
-37.3285665, 19.6333851, -2.5690137
-37.4956928, 19.5233021, -2.5491248
-37.6598268, 19.4103473, -2.5283752
-37.8231929, 19.2926927, -2.5063412
-37.9824246, 19.1724877, -2.4833681
-38.1392295, 19.0481810, -2.4589959
-38.2934816, 18.9194813, -2.4332966
-38.4418286, 18.7889658, -2.4065219
-38.5904366, 18.6506703, -2.3775345
-38.7317389, 18.5112281, -2.3478395
-38.8706602, 18.3654340, -2.3160881
-39.0038397, 18.2163530, -2.2835468
-39.1318319, 18.0631265, -2.2496880
-39.2552741, 17.9046646, -2.2155670
-39.3723951, 17.7433488, -2.1821657
-39.4844390, 17.5779774, -2.1509132
-39.5919216, 17.4088262, -2.1237377
-39.6930007, 17.2412872, -2.1054052
-39.7932078, 17.0683274, -2.0837625
-39.8869623, 16.8951288, -2.0462946
-39.9740398, 16.7124915, -1.9812504
-40.0454065, 16.5292439, -1.9007859
-40.1016644, 16.3359304, -1.8052758
-40.1379636, 16.1397483, -1.7005910
-40.1526831, 15.9404587, -1.5888113
-40.1457625, 15.7402735, -1.4852040
-40.1192094, 15.5427074, -1.3909198
-40.0749539, 15.3472502, -1.3070617
-40.0157341, 15.1568075, -1.2330797
-39.9431235, 14.9702651, -1.1674387
-39.8593139, 14.7889652, -1.1093197
-39.7657821, 14.6125661, -1.0583563
-39.6636652, 14.4403473, -1.0136982
-39.5550855, 14.2737783, -0.9730328
-39.4384057, 14.1093364, -0.9348532
-39.3181701, 13.9523396, -0.8999733
-39.1902542, 13.7966262, -0.8665430
-39.0592276, 13.6472155, -0.8355170
-38.9228935, 13.5008880, -0.8062685
-38.7818275, 13.3578573, -0.7786444
-38.6385880, 13.2201427, -0.7531236
-38.4901184, 13.0843271, -0.7289725
-38.3400624, 12.9533358, -0.7066478
-38.1867386, 12.8251981, -0.6859224
-38.0299563, 12.6994128, -0.6665942
-37.8724585, 12.5777678, -0.6489812
-37.7119026, 12.4580406, -0.6327507
-37.5496050, 12.3408909, -0.6179220
-37.3860839, 12.2263322, -0.6045299
-37.2206143, 12.1135229, -0.5924351
-37.0541001, 12.0027716, -0.5816310
-36.8865151, 11.8937529, -0.5720630
-36.7180118, 11.7862756, -0.5636819
-36.5483321, 11.6799064, -0.5564015
-36.3783400, 11.5749292, -0.5502134
-36.2077918, 11.4709355, -0.5450902
-36.0364003, 11.3675179, -0.5408912
-35.8651683, 11.2650680, -0.5376142
-35.6932588, 11.1628714, -0.5352198
-35.5211680, 11.0610337, -0.5335957
-35.3494550, 10.9597064, -0.5327454
-35.1768866, 10.8579845, -0.5326386
-35.0048228, 10.7565016, -0.5332499
-34.8329125, 10.6548834, -0.5345894
-34.6608341, 10.5527683, -0.5366727
-34.4894461, 10.4504932, -0.5394999
-34.3180491, 10.3474638, -0.5431202
-34.1471549, 10.2437917, -0.5476081
-33.9770205, 10.1394313, -0.5529682
-33.8071351, 10.0338493, -0.5593584
-33.6381980, 9.9272245, -0.5668462
-33.4701456, 9.8192570, -0.5754943
-33.3030514, 9.7096768, -0.5856438
-33.1371034, 9.5982386, -0.5973253
-32.9724783, 9.4846744, -0.6107665
-32.8095889, 9.3687850, -0.6263541
-32.6485485, 9.2501071, -0.6442092
-32.4894874, 9.1281675, -0.6642631
-32.3339245, 9.0036061, -0.6864897
-32.1801116, 8.8743912, -0.7112847
-32.0303819, 8.7418576, -0.7382189
-31.8850149, 8.6057013, -0.7676065
-31.7422380, 8.4634831, -0.7996405
-31.6065219, 8.3190846, -0.8335763
-31.4735368, 8.1670947, -0.8707351
-31.3480931, 8.0122390, -0.9095699
-31.2284599, 7.8517572, -0.9512254
-31.1154837, 7.6858864, -0.9948095
-31.0110755, 7.5169327, -1.0400939
-30.9130899, 7.3405490, -1.0875657
-30.8252523, 7.1629348, -1.1357368
-30.7450102, 6.9785897, -1.1845618
-30.6745460, 6.7929008, -1.2319524
-30.6133879, 6.6042587, -1.2831549
-30.5622474, 6.4116284, -1.3423741
-30.5243574, 6.2162260, -1.4187038
-30.5028720, 6.0178607, -1.5093068
-30.5004909, 5.8188894, -1.6078957
-30.5172202, 5.6185788, -1.6985132
-30.5502192, 5.4236409, -1.7765613
-30.5980974, 5.2285507, -1.8445698
-30.6574238, 5.0392734, -1.9032970
-30.7278408, 4.8517382, -1.9556159
-30.8068954, 4.6690841, -2.0020777
-30.8944635, 4.4890230, -2.0440987
-30.9883678, 4.3140471, -2.0820003
-31.0901397, 4.1399332, -2.1170006
-31.1953249, 3.9731717, -2.1499676
-31.3100744, 3.8040173, -2.1836670
-31.4252639, 3.6455739, -2.2148987
-31.5485381, 3.4865805, -2.2455409
-31.6762112, 3.3317560, -2.2749923
-31.8068420, 3.1822426, -2.3025350
-31.9440522, 3.0335252, -2.3292020
-32.0824647, 2.8910574, -2.3540203
