# 33c5708d-e0e4-479a-aace-4d57cce585ae
# 39b6245a9ad2c490252216ad921ee7f73e400580
# x_m, y_m, psi_rad
-35.8294322, 20.1215177, -2.6469358
-36.0054096, 20.0266811, -2.6487342
-36.1821385, 19.9325756, -2.6568462
-36.3590103, 19.8397650, -2.6566850
-36.5352585, 19.7450944, -2.6375034
-36.7087529, 19.6456040, -2.6046864
-36.8796032, 19.5416811, -2.5892785
-37.0501046, 19.4369793, -2.5962092
-37.2225125, 19.3339684, -2.6059743
-37.3939517, 19.2310313, -2.5916445
-37.5625953, 19.1235812, -2.5546629
-37.7281295, 19.0095840, -2.5252024
-37.8892825, 18.8936053, -2.5133021
-38.0524946, 18.7744097, -2.5049878
-38.2112907, 18.6536486, -2.4736957
-38.3650283, 18.5257939, -2.4213365
-38.5139631, 18.3903288, -2.3913673
-38.6585594, 18.2555573, -2.3971770
-38.8089299, 18.1185528, -2.4045277
-38.9530157, 17.9861738, -2.3881796
-39.0999730, 17.8443781, -2.3608490
-39.2381629, 17.7045016, -2.3403474
-39.3774237, 17.5562251, -2.3039883
-39.5049602, 17.4052767, -2.2409021
-39.6275149, 17.2493892, -2.2521777
-39.7565774, 17.0969986, -2.2624430
-39.8700445, 16.9347193, -2.0773525
-39.9524037, 16.7523496, -1.9315802
-40.0158700, 16.5679336, -1.8865865
-40.0812032, 16.3731930, -1.9080620
-40.1388151, 16.1794421, -1.7632378
-40.1371609, 15.9861636, -1.3269507
-40.0587983, 15.8036235, -1.0556385
-39.9524987, 15.6292746, -1.0075828
-39.8408546, 15.4642030, -0.9326439
-39.7126061, 15.3118330, -0.8137295
-39.5702032, 15.1702907, -0.7643591
-39.4258802, 15.0304120, -0.7789490
-39.2847857, 14.8896517, -0.7867689
-39.1446421, 14.7496588, -0.7828610
-39.0024892, 14.6083236, -0.7830437
-38.8623176, 14.4683415, -0.7861520
-38.7203164, 14.3259825, -0.7867095
-38.5799284, 14.1854188, -0.7851490
-38.4380128, 14.0438883, -0.7828320
-38.2958625, 13.9028567, -0.7799826
-38.1541414, 13.7631109, -0.7767110
-38.0094379, 13.6214186, -0.7730022
-37.8677913, 13.4837521, -0.7693092
-37.7225834, 13.3436651, -0.7656004
-37.5786473, 13.2058161, -0.7620360
-37.4339486, 13.0681892, -0.7587136
-37.2871061, 12.9294229, -0.7555792
-37.1425185, 12.7935981, -0.7527973
-36.9959569, 12.6566416, -0.7503215
-36.8490762, 12.5200235, -0.7481661
-36.7027340, 12.3844362, -0.7464452
-36.5553343, 12.2482823, -0.7451418
-36.4082193, 12.1126912, -0.7442312
-36.2610893, 11.9772892, -0.7436437
-36.1136729, 11.8417412, -0.7433681
-35.9664088, 11.7063728, -0.7433199
-35.8191746, 11.5710293, -0.7433852
-35.6719689, 11.4356791, -0.7435639
-35.5246269, 11.3001354, -0.7438964
-35.3775547, 11.1647255, -0.7444063
-35.2304937, 11.0291628, -0.7450954
-35.0833226, 10.8932882, -0.7459492
-34.9367504, 10.7577129, -0.7469626
-34.7898712, 10.6215545, -0.7481382
-34.6432168, 10.4852656, -0.7494434
-34.4974598, 10.3494387, -0.7508742
-34.3507480, 10.2123117, -0.7524218
-34.2049282, 10.0755872, -0.7540255
-34.0596369, 9.9389113, -0.7556897
-33.9136462, 9.8011155, -0.7573640
-33.7688638, 9.6640066, -0.7589980
-33.6237565, 9.5261442, -0.7605836
-33.4788381, 9.3880439, -0.7620122
-33.3349530, 9.2505606, -0.7632569
-33.1897060, 9.1114358, -0.7645180
-33.0457182, 8.9731447, -0.7659538
-32.9014760, 8.8341824, -0.7675930
-32.7571613, 8.6946653, -0.7694355
-32.6150559, 8.5567501, -0.7714749
-32.4699648, 8.4153558, -0.7734274
-32.3277863, 8.2763363, -0.7748087
-32.1841933, 8.1356065, -0.7759334
-32.0414857, 7.9953084, -0.7780312
-31.8998287, 7.8553058, -0.7807908
-31.7567321, 7.7138231, -0.7771679
-31.6145741, 7.5755546, -0.7650877
-31.4688222, 7.4354397, -0.7718541
-31.3296490, 7.2950126, -0.8122298
-31.1931426, 7.1477832, -0.8238279
-31.0546038, 7.0038597, -0.7850778
-30.9149654, 6.8607376, -0.8313267
-30.7918125, 6.7054347, -0.9645556
-30.6834590, 6.5380729, -1.0097977
-30.5821093, 6.3647858, -1.1021514
-30.5142287, 6.1782300, -1.3591404
-30.4973728, 5.9795352, -1.6033034
-30.5245679, 5.7825121, -1.8140747
-30.5939092, 5.5951531, -2.0370408
-30.6991084, 5.4260697, -2.2035383
