# e7622d06-7972-4834-b543-a9141257631b
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# x_m, y_m, psi_rad
-36.2776085, -13.1828722, -1.0322568
-36.0192390, -13.6104254, -1.0225583
-35.7571767, -14.0357204, -1.0148231
-35.4921029, -14.4591779, -1.0082099
-35.2243255, -14.8807262, -1.0014802
-34.9537807, -15.3002919, -0.9949154
-34.6807617, -15.7184397, -0.9899488
-34.4057228, -16.1353539, -0.9853191
-34.1287661, -16.5509680, -0.9806593
-33.8498627, -16.9652904, -0.9759668
-33.5690151, -17.3782966, -0.9712600
-33.2862243, -17.7899781, -0.9665513
-33.0014982, -18.2003259, -0.9618492
-32.7148467, -18.6093336, -0.9571580
-32.4262809, -19.0169953, -0.9524779
-32.1358109, -19.4233047, -0.9478049
-31.8434447, -19.8282536, -0.9431312
-31.5491865, -20.2318311, -0.9384450
-31.2530350, -20.6340218, -0.9337308
-30.9549821, -21.0348053, -0.9289695
-30.6550118, -21.4341545, -0.9241383
-30.3530987, -21.8320344, -0.9192109
-30.0492067, -22.2284012, -0.9141576
-29.7432880, -22.6232005, -0.9089457
-29.4352821, -23.0163669, -0.9035390
-29.1251145, -23.4078221, -0.8978987
-28.8126961, -23.7974743, -0.8919831
-28.4979224, -24.1852168, -0.8857483
-28.1806643, -24.5709206, -0.8790601
-27.8606723, -24.9543535, -0.8713273
-27.5373237, -25.3349603, -0.8612621
-27.2094614, -25.7116882, -0.8469500
-26.8748670, -26.0824558, -0.8248853
-26.5305751, -26.4441908, -0.7937709
-26.1735566, -26.7933925, -0.7533445
-25.8011994, -27.1261193, -0.7037887
-25.4117952, -27.4388988, -0.6491183
-25.0054119, -27.7300065, -0.5943670
-24.5843537, -27.9985097, -0.5411471
-24.1496743, -28.2444361, -0.4886948
-23.7023008, -28.4675121, -0.4364401
-23.2436311, -28.6669631, -0.3838101
-22.7750316, -28.8417551, -0.3299389
-22.2977744, -28.9904736, -0.2736631
-21.8129311, -29.1111378, -0.2132680
-21.3213462, -29.2008007, -0.1461053
-20.8239053, -29.2548099, -0.0678513
-20.3228147, -29.2658213, 0.0267197
-19.8254491, -29.2274427, 0.1269851
-19.3350668, -29.1431226, 0.2049691
-18.8526534, -29.0406375, 0.2002557
-18.3617651, -28.9352825, 0.2483207
-17.8912889, -28.7863739, 0.3656019
-17.4336103, -28.5841971, 0.4618261
-16.9940933, -28.3432730, 0.5388991
-16.5728665, -28.0715671, 0.6056621
-16.1703891, -27.7741097, 0.6666200
-15.7870961, -27.4541025, 0.7242678
-15.4217448, -27.1120781, 0.7803314
-15.0757485, -26.7500461, 0.8356263
-14.7508929, -26.3703313, 0.8906536
-14.4479118, -25.9741356, 0.9446105
-14.1653629, -25.5629700, 0.9914097
-13.9006377, -25.1399663, 1.0306016
-13.6512856, -24.7076195, 1.0638125
-13.4153905, -24.2677393, 1.0926416
-13.1915156, -23.8216763, 1.1181344
-12.9784616, -23.3702951, 1.1409757
-12.7748819, -22.9141984, 1.1602852
-12.5789680, -22.4545752, 1.1745290
-12.3882711, -21.9927812, 1.1827786
-12.1998669, -21.5300449, 1.1843742
-12.0106588, -21.0676326, 1.1794426
-11.8180406, -20.6066305, 1.1699508
-11.6202338, -20.1478325, 1.1569596
-11.4157245, -19.6919825, 1.1406483
-11.2030751, -19.2398717, 1.1211254
-10.9809597, -18.7923424, 1.0985912
-10.7482180, -18.3502841, 1.0733350
-10.5038942, -17.9146015, 1.0457295
-10.2473134, -17.4862345, 1.0163342
-9.9782631, -17.0657385, 0.9874264
-9.6984263, -16.6528081, 0.9645145
-9.4103943, -16.2453169, 0.9461968
-9.1146934, -15.8433657, 0.9267054
-8.8108675, -15.4473898, 0.9056519
-8.4983028, -15.0580028, 0.8828943
-8.1765722, -14.6759645, 0.8586477
-7.8453833, -14.3019780, 0.8332095
-7.5045841, -13.9366677, 0.8068542
-7.1541286, -13.5805772, 0.7797911
-6.7940512, -13.2341937, 0.7521575
-6.4244444, -12.8979737, 0.7240280
-6.0454411, -12.5723638, 0.6954253
-5.6572050, -12.2578188, 0.6663345
-5.2599047, -11.9548090, 0.6366954
-4.8537503, -11.6638412, 0.6064751
-4.4389994, -11.3855326, 0.5754664
-4.0159231, -11.1202156, 0.5449340
-3.5850555, -10.8676740, 0.5155843
-3.1471064, -10.6276160, 0.4874447
-2.7027053, -10.3997076, 0.4604937
-2.2524456, -10.1835894, 0.4347182
-1.7968795, -9.9788811, 0.4100986
-1.3365180, -9.7851857, 0.3866141
-0.8718336, -9.6020931, 0.3642429
-0.4032612, -9.4291832, 0.3429627
0.0687999, -9.2660288, 0.3227515
0.5439838, -9.1121973, 0.3035883
1.0219558, -8.9672524, 0.2854527
1.5024111, -8.8307553, 0.2683263
1.9850719, -8.7022657, 0.2521917
